"","address","list_price","bed","bathroom","sq_footage","hunter_mins","stewart_mins","num_acres","HOA_price","price_value","bed_value","bathroom_value","footage_value","hunter_time_value","stewart_time_value","acres_value","HOA_value","value","latitude","longitude","price_category","value_category","value_per_dollar"
"168","1405 E 32nd St, Savannah, GA 31404",165000,3,1,1222,NA,59,0.14,0,0.888888888888889,0.5,0.25,0.132275132275132,NA,NA,0.108695652173913,0.928571428571429,0.46899638203986,32.05483,-81.07638,"med","med",0.000284240231539309
"169","208 Cumming St, Savannah, GA 31415",70000,2,1,860,23,51,NA,NA,0.964285714285714,0.25,0.25,0.0675675675675675,0.634920634920635,0.684931506849315,NA,NA,0.42711515681183,32.08308,-81.11572,"low","low",0.000610164509731186
"170","8524 Vining Way, Savannah, GA 31406",185000,3,1,1154,NA,53,0.21,0,0.8,0.5,0.25,0.112107623318386,NA,NA,0.128205128205128,0.928571428571429,0.467103150959653,31.9923,-81.10843,"med","low",0.000252488189707921
"171","104 W 76th St, Savannah, GA 31405",125000,2,1,850,NA,51,0.15,0,0.941176470588235,0.25,0.25,0.0666666666666667,NA,NA,0.111111111111111,0.928571428571429,0.389105339105339,32.02559,-81.11425,"low","low",0.000311284271284271
"172","2028 E 42nd St, Savannah, GA 31404",140000,3,2,1144,NA,58,0.14,0,0.928571428571429,0.5,0.5,0.109649122807018,NA,NA,0.108695652173913,0.928571428571429,0.510337107591112,32.04378,-81.06575,"low","med",0.000364526505422223
"173","1014 Carroll St, Savannah, GA 31415",108000,3,1,1380,22,50,0.12,0,0.950980392156863,0.5,0.25,0.227272727272727,0.650793650793651,0.698630136986301,0.104166666666667,0.928571428571429,0.55797174561444,32.07062,-81.12575,"low","med",0.000516640505198555
"174","234 Caribbean Village Dr, Guyton, GA 31312",234990,3,2,1343,46,62,NA,700,0.111135807957324,0.5,0.5,0.194552529182879,0.26984126984127,0.36986301369863,NA,0.0555555555555556,0.308513285029023,32.19017,-81.27528,"high","low",0.000131287835664932
"175","744 Fairview Cir, Hinesville, GA 31313",205800,3,3,1703,NA,NA,NA,300,0.316455696202532,0.5,0.75,0.834983498349835,NA,NA,NA,0.5,0.616996699669967,31.80199,-81.6519,"high","high",0.000299804032881422
"176","2308 New York Ave, Savannah, GA 31404",175000,3,2,1287,NA,62,0.12,0,0.857142857142857,0.5,0.5,0.159744408945687,NA,NA,0.104166666666667,0.928571428571429,0.519033615479302,32.05185,-81.05606,"med","med",0.000296590637416744
"177","1506 E Henry St, Savannah, GA 31404",151900,3,3,1504,NA,56,0.02,0,0.91394148020654,0.5,0.75,0.519230769230769,NA,NA,0.0862068965517241,0.928571428571429,0.628216610975232,32.05717,-81.0744,"low","high",0.000413572489121285
